acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,dataset,method,n_folds,n_proto,reduction,shared_build,swept
0.7817757009345794,270.0,False,0.02002670226969292,0.02,eeg-eye-state,KMeans,10,270.0,0.9799732977303071,False,True
0.82543391188251,270.0,False,0.02002670226969292,0.02,eeg-eye-state,LVQ3,10,270.0,0.9799732977303071,False,True
0.8058744993324432,270.0,False,0.02002670226969292,0.02,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,True,False
0.838785046728972,270.0,False,0.02002670226969292,0.02,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,True,False
0.6489319092122832,270.0,False,0.02002670226969292,0.02,eeg-eye-state,Random,10,270.0,0.9799732977303071,False,True
0.7238985313751669,270.0,False,0.02002670226969292,0.02,eeg-eye-state,SPINE+1NN,10,270.0,0.9799732977303071,False,True
0.7382510013351135,270.0,False,0.02002670226969292,0.02,eeg-eye-state,SPINE+Graph,10,270.0,0.9799732977303071,False,True
0.709279038718291,270.0,False,0.02002670226969292,0.02,eeg-eye-state,SPOT,10,270.0,0.9799732977303071,False,True
0.8565420560747663,674.0,False,0.04999258270286307,0.05,eeg-eye-state,Full,10,13482.0,0.0,True,False
0.7531375166889187,674.0,False,0.04999258270286307,0.05,eeg-eye-state,GLVQ,10,674.0,0.9500074172971369,False,True
0.790320427236315,674.0,False,0.04999258270286307,0.05,eeg-eye-state,GNG,10,674.0,0.9500074172971369,False,True
0.8064085447263019,674.0,False,0.04999258270286307,0.05,eeg-eye-state,KMeans,10,674.0,0.9500074172971369,False,True
0.841588785046729,674.0,False,0.04999258270286307,0.05,eeg-eye-state,LVQ3,10,674.0,0.9500074172971369,False,True
0.8058744993324432,674.0,False,0.04999258270286307,0.05,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,True,False
0.838785046728972,674.0,False,0.04999258270286307,0.05,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,True,False
0.712283044058745,674.0,False,0.04999258270286307,0.05,eeg-eye-state,Random,10,674.0,0.9500074172971369,False,True
0.7852469959946595,674.0,False,0.04999258270286307,0.05,eeg-eye-state,SPINE+1NN,10,674.0,0.9500074172971369,False,True
0.7908544726301736,674.0,False,0.04999258270286307,0.05,eeg-eye-state,SPINE+Graph,10,674.0,0.9500074172971369,False,True
0.7524032042723632,674.0,False,0.04999258270286307,0.05,eeg-eye-state,SPOT,10,674.0,0.9500074172971369,False,True
0.8565420560747663,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,Full,10,13482.0,0.0,True,False
0.7534712950600801,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,GLVQ,10,1348.0,0.9000148345942739,False,True
0.817690253671562,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,GNG,10,1348.0,0.9000148345942739,False,True
0.8250333778371163,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,KMeans,10,1348.0,0.9000148345942739,False,True
0.8434579439252337,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,LVQ3,10,1348.0,0.9000148345942739,False,True
0.8058744993324432,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,True,False
0.838785046728972,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,True,False
0.7496662216288383,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,Random,10,1348.0,0.9000148345942739,False,True
0.8224966622162884,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,SPINE+1NN,10,1348.0,0.9000148345942739,False,True
0.8267690253671562,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,SPINE+Graph,10,1348.0,0.9000148345942739,False,True
0.7728304405874499,1348.0,False,0.09998516540572613,0.1,eeg-eye-state,SPOT,10,1348.0,0.9000148345942739,False,True
0.8565420560747663,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,Full,10,13482.0,0.0,True,False
0.7572096128170894,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,GLVQ,10,3371.0,0.7499629135143152,False,True
0.8419893190921227,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,GNG,10,3371.0,0.7499629135143152,False,True
0.8390520694259012,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,KMeans,10,3371.0,0.7499629135143152,False,True
0.8466622162883846,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,LVQ3,10,3371.0,0.7499629135143152,False,True
0.8058744993324432,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,True,False
0.838785046728972,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,True,False
0.7999332443257676,3371.0,False,0.2500370864856846,0.25,eeg-eye-state,Random,10,3371.0,0.7499629135143152,False,True
